parsimony@gmail.com,5,nice prof,asdf,every 2 weeks
crusader@gmail.com,2,prof not helpful,asdf,every 2 weeks
bjornk@gmail.com,1,prof MIA,asdf,only 2 times
barlow@gmail.com,3,not bad,asdf,1 time
hoyer@gmail.com,4,good prof!,asdf,once a week
doche@gmail.com,5,"very good prof, very supportive",asdf,once a month
jmcnamara@gmail.com,3,okay only,asdf,every 2 months
seanq@gmail.com,2,not so good,asdf,depends on prof
johnbob@gmail.com,1,bad,asdf,depends on prof
dburrows@gmail.com,2,not bad,asdf,depends on prof
damian@gmail.com,3,okay only,asdf,depends on prof
odlyzko@gmail.com,4,good prof!,asdf,depends on prof
